sport_level,location_type,licensee,tier_1_wagers,tier_1_handle,tier_2_wagers,tier_2_handle,month,numerical_month,year,detail_type,baseball,basketball,boxing_mma,football,golf,hockey,soccer,tennis,parlay,other_sport,motor_race_event,motor_race_parlay,other_event,other_event_parlay,total_wagers,total_handle
College,Total,"Casino Queen, Inc.",929883,26722106.31,644648,32268437.42,January,1,2021,Handle Details,79891.86,92958232.54,3577192.9,69477290.36,2084146.7,7633023.08,12745303.15,4477072.15,47246158.97,3908592.14,9305.25,0,0,0,1574531,58990543.73
College,Total,Elgin Riverboat Resort,21383,3330694.77,266,11680.62,January,1,2021,Wager Details,58,31521,1013,24852,460,3605,2758,151,0,85,21,0,0,0,21649,3342375.39
College,Total,Elgin Riverboat Resort,21383,3330694.77,266,11680.62,January,1,2021,Handle Details,1758.04,4208715,51786.42,4534645.17,34522.27,230432.24,184559.04,22994.42,0,1413.4,152,0,0,0,21649,3342375.39
College,Total,"Hawthorne Race Course, Inc.",103599,5450211.06,65501,6545012.78,January,1,2021,Wager Details,444,211801,10019,145941,11407,28567,29255,6645,176869,61104,51,0,0,0,169100,11995223.84
College,Total,"Hawthorne Race Course, Inc.",103599,5450211.06,65501,6545012.78,January,1,2021,Handle Details,17245.36,17841027.23,397945.63,8863837.4,255984.97,1644843.74,2806063.45,1116016.6,6185831.12,1461582.08,712.9,0,0,0,169100,11995223.84
College,Total,"HC Aurora, LLC",312,35616.07,61,15825.28,January,1,2021,Wager Details,57,1199,55,603,28,162,38,2,170,0,3,0,0,0,373,51441.35
College,Total,"HC Aurora, LLC",312,35616.07,61,15825.28,January,1,2021,Handle Details,1164.76,167107.09,2500,60176.5,1662,5993.4,2795,95,18587.04,0,25,0,0,0,373,51441.35
College,Total,"HC Joliet, LLC",455,67662.58,358,32398.73,January,1,2021,Wager Details,6,1497,50,715,40,217,395,0,265,1,2,0,0,0,813,100061.31
College,Total,"HC Joliet, LLC",455,67662.58,358,32398.73,January,1,2021,Handle Details,185,171501.19,3336.06,74290.07,1133.5,23608.86,21355.21,0,13587.05,10,40,0,0,0,813,100061.31
College,Total,"Midwest Gaming & Entertainment, LLC",338632,15303536.37,181977,17180692.98,January,1,2021,Wager Details,1114,895934,36580,657271,32708,129720,181093,41483,196691,1558,96,0,0,0,520609,32484229.35
College,Total,"Midwest Gaming & Entertainment, LLC",338632,15303536.37,181977,17180692.98,January,1,2021,Handle Details,53017.82,53211728.02,1513185.01,35596522.12,582419.81,4210607.01,8215505.44,3673253.13,5585911.22,95087.44,619.8,0,0,0,520609,32484229.35
College,Total,Par-A-Dice Gaming Corporation,442880,19725801.17,187527,13516736.53,January,1,2021,Wager Details,1625,1367160,93998,1212530,53573,145858,127851,47502,3750038,56120,378,0,0,0,630407,33242537.7
College,Total,Par-A-Dice Gaming Corporation,442880,19725801.17,187527,13516736.53,January,1,2021,Handle Details,38305.45,61021176.83,2333781.38,40488848.67,1019774.24,4136316.58,6062187.25,4272902.37,50076683.88,4028472.41,2483.51,0,0,0,630407,33242537.7
Motor Race,In-Person Wagering,"Alton Casino, LLC",6,45,0,0,January,1,2021,Wager Details,12,3446,99,1178,207,596,80,2,971,0,6,0,0,0,6,45
Motor Race,In-Person Wagering,"Alton Casino, LLC",6,45,0,0,January,1,2021,Handle Details,786.5,516410.28,5597.55,121715.15,3584.89,17476.78,5416.14,291.07,35756.8,0,45,0,0,0,6,45
Motor Race,In-Person Wagering,"Casino Queen, Inc.",6,19,0,0,January,1,2021,Wager Details,33,4819,105,1595,108,836,328,4,1617,0,6,0,0,0,6,19
Motor Race,In-Person Wagering,"Casino Queen, Inc.",6,19,0,0,January,1,2021,Handle Details,1245.71,367339.58,9762.61,142046.3,3849.15,61571.86,35097.53,561,35873.15,0,19,0,0,0,6,19
Motor Race,In-Person Wagering,Elgin Riverboat Resort,3,55,0,0,January,1,2021,Wager Details,6,618,40,617,24,131,22,0,0,0,3,0,0,0,3,55
Motor Race,In-Person Wagering,Elgin Riverboat Resort,3,55,0,0,January,1,2021,Handle Details,150,146800.65,2720,186075.6,1360,11091.75,5529,0,0,0,55,0,0,0,3,55
Motor Race,In-Person Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,January,1,2021,Wager Details,1,1811,65,636,0,212,0,0,247,0,0,0,0,0,0,0
Motor Race,In-Person Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,January,1,2021,Handle Details,125,90054.05,3221,35563.5,0,10381.4,0,0,12312,0,0,0,0,0,0,0
Motor Race,In-Person Wagering,"HC Aurora, LLC",3,25,0,0,January,1,2021,Wager Details,57,1199,55,603,28,162,38,2,170,0,3,0,0,0,3,25
Motor Race,In-Person Wagering,"HC Aurora, LLC",3,25,0,0,January,1,2021,Handle Details,1164.76,167107.09,2500,60176.5,1662,5993.4,2795,95,18587.04,0,25,0,0,0,3,25
Motor Race,In-Person Wagering,"HC Joliet, LLC",2,40,0,0,January,1,2021,Wager Details,6,1497,50,715,40,217,395,0,265,1,2,0,0,0,2,40
Motor Race,In-Person Wagering,"HC Joliet, LLC",2,40,0,0,January,1,2021,Handle Details,185,171501.19,3336.06,74290.07,1133.5,23608.86,21355.21,0,13587.05,10,40,0,0,0,2,40
Motor Race,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",3,30,0,0,January,1,2021,Wager Details,40,8974,290,2880,118,1167,1790,36,2164,6,3,0,0,0,3,30
Motor Race,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",3,30,0,0,January,1,2021,Handle Details,2460,2171542.32,65075.17,957557.1,3452.27,113943.64,217737.77,4506.57,209960.42,760,30,0,0,0,3,30
Motor Race,In-Person Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,January,1,2021,Wager Details,2,356,21,359,1,55,1,0,1185,0,0,0,0,0,0,0
Motor Race,In-Person Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,January,1,2021,Handle Details,110,36397,799,63257.25,10,3722,40,0,30436.02,0,0,0,0,0,0,0
