sport_level,location_type,licensee,tier_1_wagers,tier_1_handle,tier_2_wagers,tier_2_handle,month,numerical_month,year,total_wager,total_handle
College,In-Person Wagering,"Casino Queen, Inc.",6569,798106.18,1936,276545.14,February,2,2021,8505,1074651.32
College,In-Person Wagering,Elgin Riverboat Resort,1200,719252.65,0,0,February,2,2021,1200,719252.65
College,In-Person Wagering,"Hawthorne Race Course, Inc.",3935,286517.9,0,0,February,2,2021,3935,286517.9
College,In-Person Wagering,"HC Aurora, LLC",1764,148499.05,580,77545.29,February,2,2021,2344,226044.34
College,In-Person Wagering,"HC Joliet, LLC",1356,167711.1,1295,110126.39,February,2,2021,2651,277837.49
College,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",6497,1620312.7,3555,676694.31,February,2,2021,10052,2297007.01
College,In-Person Wagering,Par-A-Dice Gaming Corporation,654,142282,112,38729,February,2,2021,766,181011
College,Online Wagering,"Alton Casino, LLC",0,0,0,0,February,2,2021,0,0
College,Online Wagering,"Casino Queen, Inc.",964279,26118384.59,604009,31107280.93,February,2,2021,1568288,57225665.52
College,Online Wagering,Elgin Riverboat Resort,25374,4136605.38,0,0,February,2,2021,25374,4136605.38
College,Online Wagering,"Hawthorne Race Course, Inc.",112502,6195595.61,50915,5917070.96,February,2,2021,163417,12112666.57
College,Online Wagering,"HC Aurora, LLC",0,0,0,0,February,2,2021,0,0
College,Online Wagering,"HC Joliet, LLC",0,0,0,0,February,2,2021,0,0
College,Online Wagering,"Midwest Gaming & Entertainment, LLC",272958,11724715.65,134919,13939631.8,February,2,2021,407877,25664347.45
College,Online Wagering,Par-A-Dice Gaming Corporation,329421,14919308.33,189120,17224115.97,February,2,2021,518541,32143424.3
College,Total,"Alton Casino, LLC",3650,523001.18,1749,376035.79,February,2,2021,5399,899036.97
College,Total,"Casino Queen, Inc.",970848,26916490.77,605945,31383826.07,February,2,2021,1576793,58300316.84
College,Total,Elgin Riverboat Resort,26574,4855858.03,0,0,February,2,2021,26574,4855858.03
College,Total,"Hawthorne Race Course, Inc.",116437,6482113.51,50915,5917070.96,February,2,2021,167352,12399184.47
College,Total,"HC Aurora, LLC",1764,148499.05,580,77545.29,February,2,2021,2344,226044.34
College,Total,"HC Joliet, LLC",1356,167711.1,1295,110126.39,February,2,2021,2651,277837.49
College,Total,"Midwest Gaming & Entertainment, LLC",279455,13345028.35,138474,14616326.11,February,2,2021,417929,27961354.46
College,Total,Par-A-Dice Gaming Corporation,330075,15061590.33,189232,17262844.97,February,2,2021,519307,32324435.3
Motor Race,In-Person Wagering,"Alton Casino, LLC",383,10896.06,31,1164.5,February,2,2021,414,12060.56
Motor Race,In-Person Wagering,"Casino Queen, Inc.",0,0,0,0,February,2,2021,0,0
Motor Race,In-Person Wagering,Elgin Riverboat Resort,82,1963,0,0,February,2,2021,82,1963
Motor Race,In-Person Wagering,"Hawthorne Race Course, Inc.",73,2593,0,0,February,2,2021,73,2593
Motor Race,In-Person Wagering,"HC Aurora, LLC",72,1057.75,10,115,February,2,2021,82,1172.75
Motor Race,In-Person Wagering,"HC Joliet, LLC",132,2989.81,13,195,February,2,2021,145,3184.81
Motor Race,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",190,10651.54,47,2238,February,2,2021,237,12889.54
Motor Race,In-Person Wagering,Par-A-Dice Gaming Corporation,77,1710,0,0,February,2,2021,77,1710
Motor Race,Online Wagering,"Alton Casino, LLC",0,0,0,0,February,2,2021,0,0
Motor Race,Online Wagering,"Casino Queen, Inc.",66654,611930.82,24332,244638.28,February,2,2021,90986,856569.1
Motor Race,Online Wagering,Elgin Riverboat Resort,728,34532.63,92,7926.14,February,2,2021,820,42458.77
Motor Race,Online Wagering,"Hawthorne Race Course, Inc.",3082,33056.06,500,6097.08,February,2,2021,3582,39153.14
Motor Race,Online Wagering,"HC Aurora, LLC",0,0,0,0,February,2,2021,0,0
Motor Race,Online Wagering,"HC Joliet, LLC",0,0,0,0,February,2,2021,0,0
Motor Race,Online Wagering,"Midwest Gaming & Entertainment, LLC",14142,182598.42,2941,44986.13,February,2,2021,17083,227584.55
Motor Race,Online Wagering,Par-A-Dice Gaming Corporation,225520,214039.22,763,6332.06,February,2,2021,226283,220371.28
Motor Race,Total,"Alton Casino, LLC",383,10896.06,31,1164.5,February,2,2021,414,12060.56
Motor Race,Total,"Casino Queen, Inc.",66654,611930.82,24332,244638.28,February,2,2021,90986,856569.1
Motor Race,Total,Elgin Riverboat Resort,810,36495.63,92,7926.14,February,2,2021,902,44421.77
Motor Race,Total,"Hawthorne Race Course, Inc.",3155,35649.06,500,6097.08,February,2,2021,3655,41746.14
Motor Race,Total,"HC Aurora, LLC",72,1057.75,10,115,February,2,2021,82,1172.75
Motor Race,Total,"HC Joliet, LLC",132,2989.81,13,195,February,2,2021,145,3184.81
Motor Race,Total,"Midwest Gaming & Entertainment, LLC",14332,193249.96,2988,47224.13,February,2,2021,17320,240474.09
Motor Race,Total,Par-A-Dice Gaming Corporation,225597,215749.22,763,6332.06,February,2,2021,226360,222081.28
Other Event,In-Person Wagering,"Alton Casino, LLC",0,0,0,0,February,2,2021,0,0
Other Event,In-Person Wagering,"Casino Queen, Inc.",0,0,0,0,February,2,2021,0,0
Other Event,In-Person Wagering,Elgin Riverboat Resort,0,0,0,0,February,2,2021,0,0
Other Event,In-Person Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,February,2,2021,0,0
Other Event,In-Person Wagering,"HC Aurora, LLC",0,0,0,0,February,2,2021,0,0
Other Event,In-Person Wagering,"HC Joliet, LLC",0,0,0,0,February,2,2021,0,0
Other Event,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",0,0,0,0,February,2,2021,0,0
Other Event,In-Person Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,February,2,2021,0,0
Other Event,Online Wagering,"Alton Casino, LLC",0,0,0,0,February,2,2021,0,0
Other Event,Online Wagering,"Casino Queen, Inc.",0,0,0,0,February,2,2021,0,0
Other Event,Online Wagering,Elgin Riverboat Resort,0,0,0,0,February,2,2021,0,0
Other Event,Online Wagering,"Hawthorne Race Course, Inc.",0,0,0,0,February,2,2021,0,0
Other Event,Online Wagering,"HC Aurora, LLC",0,0,0,0,February,2,2021,0,0
Other Event,Online Wagering,"HC Joliet, LLC",0,0,0,0,February,2,2021,0,0
Other Event,Online Wagering,"Midwest Gaming & Entertainment, LLC",0,0,0,0,February,2,2021,0,0
Other Event,Online Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,February,2,2021,0,0
Other Event,Total,"Alton Casino, LLC",0,0,0,0,February,2,2021,0,0
Other Event,Total,"Casino Queen, Inc.",0,0,0,0,February,2,2021,0,0
Other Event,Total,Elgin Riverboat Resort,0,0,0,0,February,2,2021,0,0
Other Event,Total,"Hawthorne Race Course, Inc.",0,0,0,0,February,2,2021,0,0
Other Event,Total,"HC Aurora, LLC",0,0,0,0,February,2,2021,0,0
Other Event,Total,"HC Joliet, LLC",0,0,0,0,February,2,2021,0,0
Other Event,Total,"Midwest Gaming & Entertainment, LLC",0,0,0,0,February,2,2021,0,0
Other Event,Total,Par-A-Dice Gaming Corporation,0,0,0,0,February,2,2021,0,0
Professional,In-Person Wagering,"Alton Casino, LLC",13040,852781.18,8105,1346211.29,March,3,2021,21145,2198992.47
Professional,In-Person Wagering,"Casino Queen, Inc.",32110,1709595.99,13827,501336.69,March,3,2021,45937,2210932.68
Professional,In-Person Wagering,Elgin Riverboat Resort,3825,301513.46,103,4942,March,3,2021,3928,306455.46
Professional,In-Person Wagering,"Fairmount Park, Inc.",2380,138578,417,13277,March,3,2021,2797,151855
Professional,In-Person Wagering,"Hawthorne Race Course, Inc.",9101,664894.05,0,0,March,3,2021,9101,664894.05
Professional,In-Person Wagering,"HC Aurora, LLC",5423,371911.35,2169,216152.1,March,3,2021,7592,588063.45
Professional,In-Person Wagering,"HC Joliet, LLC",5221,417667.27,3158,206405.97,March,3,2021,8379,624073.24
Professional,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",29643,4145067.52,19991,2968325.17,March,3,2021,49634,7113392.69
Professional,In-Person Wagering,Par-A-Dice Gaming Corporation,2947,213574.93,1012,71934.82,March,3,2021,3959,285509.75
Professional,Online Wagering,"Alton Casino, LLC",0,0,0,0,March,3,2021,0,0
Professional,Online Wagering,"Casino Queen, Inc.",1792960,38874045.18,2031310,69560862.43,March,3,2021,3824270,108434907.6
Professional,Online Wagering,Elgin Riverboat Resort,36328,3864006.78,800,71267,March,3,2021,37128,3935273.78
Professional,Online Wagering,"Fairmount Park, Inc.",4208309,69110319,2320384,66264747,March,3,2021,6528693,135375066
Professional,Online Wagering,"Hawthorne Race Course, Inc.",319459,12322166.59,124212,19650937.95,March,3,2021,443671,31973104.54
Professional,Online Wagering,"HC Aurora, LLC",70638,5021598,510437,19767530,March,3,2021,581075,24789128
