detail_type,location_type,licensee,baseball,basketball,boxing_mma,football,golf,hockey,soccer,tennis,parlay,other_sport,motor_race_event,motor_race_parlay,other_event,other_event_parlay,month,numerical_month,year
Handle Details,In-Person Wagering,"Casino Queen, Inc.",38395.93,2845092.88,65169.89,3697.44,15528.34,274088.11,141245.68,24778.49,315613.62,17300.41,0,0,0,0,March,3,2021
Handle Details,In-Person Wagering,Elgin Riverboat Resort,11872.6,773645.25,19281.5,976,5804,57469.65,17361,4590,0,0,6738,0,0,0,March,3,2021
Handle Details,In-Person Wagering,"Fairmount Park, Inc.",4625,192263,2979,490,947,27601,915,739,89344,1040,220,0,0,0,March,3,2021
Handle Details,In-Person Wagering,"Hawthorne Race Course, Inc.",12531.8,1034210.8,16311.45,4387,0,251552.9,0,0,84532.2,0,1896,0,0,0,March,3,2021
Handle Details,In-Person Wagering,"HC Aurora, LLC",10565.52,924778.86,10644.8,1821.15,7213,22291.88,26600.6,17840.6,51178.67,9410,1095,0,0,0,March,3,2021
Handle Details,In-Person Wagering,"HC Joliet, LLC",12398.91,861923.56,77448.7,3910.33,16228.18,63483.67,92420.06,4340.52,105312.6,0,1930.11,0,0,0,March,3,2021
Handle Details,In-Person Wagering,"Midwest Gaming & Entertainment, LLC",218167.72,7951916.46,227220.82,31828.24,75613.04,987757.48,651615.57,335630.63,680219.92,11480.23,11327.21,0,0,0,March,3,2021
Handle Details,In-Person Wagering,Par-A-Dice Gaming Corporation,2510,398047,28040.25,240,4740,14216,4405,2590,171263,1420,815,0,0,0,March,3,2021
Handle Details,Online Wagering,"Alton Casino, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,March,3,2021
Handle Details,Online Wagering,"Casino Queen, Inc.",828422.3,118435373.1,3343493.18,306725.61,4853139.53,9571978.86,8936812.93,11867788.88,44480976.73,879940.2,375612.58,0,0,0,March,3,2021
Handle Details,Online Wagering,Elgin Riverboat Resort,111809.11,11449264.1,214746.36,88629.69,88398.92,833069.09,176808.08,289330.65,0,40,16353,0,0,0,March,3,2021
Handle Details,Online Wagering,"Fairmount Park, Inc.",281120,95137696,2538224,231123,2492262,7926718,7547971,16845168,54063098,7659265,146960,0,0,0,March,3,2021
Handle Details,Online Wagering,"Hawthorne Race Course, Inc.",550314.93,28563496.92,435061.83,102744.93,668475.79,4225564.65,2230721.89,6997209.49,9035375.83,712732.1,37324.26,0,0,0,March,3,2021
Handle Details,Online Wagering,"HC Aurora, LLC",73770,30198549,315061,50789,649212,1860188,1789430,1223059,8416207,3155325,58707,0,0,0,March,3,2021
Handle Details,Online Wagering,"HC Joliet, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,March,3,2021
Handle Details,Online Wagering,"Midwest Gaming & Entertainment, LLC",851753.7,63655703.36,1559662.79,68610.92,1587307.13,6531987.84,7305864.92,9554506.93,4229848.01,208869.57,123423.31,0,0,0,March,3,2021
Handle Details,Online Wagering,Par-A-Dice Gaming Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,March,3,2021
Handle Details,Total,"Alton Casino, LLC",42704.76,3324383.69,29644.53,16810.01,34811.22,154836.23,206719.4,2023.7,248015.88,250,10447.24,0,0,0,March,3,2021
Handle Details,Total,"Casino Queen, Inc.",866818.23,121280465.9,3408663.07,310423.05,4868667.87,9846066.97,9078058.61,11892567.37,44796590.35,897240.61,375612.58,0,0,0,March,3,2021
Handle Details,Total,Elgin Riverboat Resort,123681.71,12222909.35,234027.86,89605.69,94202.92,890538.74,194169.08,293920.65,0,40,23091,0,0,0,March,3,2021
Handle Details,Total,"Fairmount Park, Inc.",285745,95329959,2541203,231613,2493209,7954319,7548886,16845907,54152442,7660305,147180,0,0,0,March,3,2021
Handle Details,Total,"Hawthorne Race Course, Inc.",562846.73,29597707.72,451373.28,107131.93,668475.79,4477117.55,2230721.89,6997209.49,9119908.03,712732.1,39220.26,0,0,0,March,3,2021
Handle Details,Total,"HC Aurora, LLC",84335.52,31123327.86,325705.8,52610.15,656425,1882479.88,1816030.6,1240899.6,8467385.67,3164735,59802,0,0,0,March,3,2021
Handle Details,Total,"HC Joliet, LLC",12398.91,861923.56,77448.7,3910.33,16228.18,63483.67,92420.06,4340.52,105312.6,0,1930.11,0,0,0,March,3,2021
